customer_id,tenure,contract_type,monthly_charges,churn
1001,34,Two Year,341.56,No
1002,48,Month-to-Month,151.53,Yes
1003,37,Two Year,208.42,No
1004,15,Month-to-Month,173.38,No
1005,44,One Year,332.38,No
1006,36,One Year,184.57,No
1007,15,Two Year,386.16,No
1008,43,One Year,220.17,No
1009,48,One Year,278.45,No
1010,23,Month-to-Month,132.19,Yes
1011,6,One Year,64.54,No
1012,46,Month-to-Month,187.85,No
1013,50,One Year,234.1,No
1014,44,One Year,229.78,No
1015,59,One Year,220.8,No
1016,43,Month-to-Month,568.47,No
1017,45,Month-to-Month,234.37,Yes
1018,21,One Year,335.56,No
1019,23,Month-to-Month,158.87,Yes
1020,43,Month-to-Month,213.83,Yes
1021,55,Month-to-Month,153.2,Yes
1022,16,Two Year,207.0,No
1023,47,One Year,115.04,No
1024,53,Month-to-Month,118.89,No
1025,15,Month-to-Month,232.91,No
1026,25,Month-to-Month,436.09,Yes
1027,36,One Year,211.68,No
1028,11,One Year,297.77,No
1029,51,Month-to-Month,60.44,Yes
1030,15,Month-to-Month,201.36,No
1031,4,Month-to-Month,416.51,Yes
1032,21,One Year,335.48,No
1033,13,One Year,144.38,No
1034,22,Month-to-Month,252.22,Yes
1035,19,Month-to-Month,176.99,Yes
1036,34,Month-to-Month,306.61,No
1037,14,Two Year,361.59,No
1038,4,Month-to-Month,300.82,Yes
1039,48,One Year,189.66,No
1040,53,One Year,377.43,No
1041,52,Month-to-Month,283.42,No
1042,46,Month-to-Month,182.0,Yes
1043,27,Month-to-Month,168.1,Yes
1044,29,One Year,325.45,No
1045,47,One Year,471.71,No
1046,28,One Year,310.73,No
1047,35,One Year,130.18,No
1048,8,Month-to-Month,336.54,Yes
1049,16,Two Year,124.14,No
1050,42,One Year,129.4,No
1051,36,Month-to-Month,198.83,No
1052,30,Two Year,211.28,No
1053,18,One Year,366.54,No
1054,2,One Year,218.6,No
1055,49,One Year,235.58,No
1056,13,Two Year,400.93,No
1057,4,One Year,183.49,No
1058,26,Month-to-Month,290.42,No
1059,25,Month-to-Month,129.88,Yes
1060,30,Two Year,124.91,No
1061,11,Month-to-Month,242.49,Yes
1062,7,Month-to-Month,104.25,Yes
1063,31,Month-to-Month,193.25,No
1064,44,Month-to-Month,136.58,Yes
1065,10,One Year,145.74,No
1066,39,Two Year,452.99,No
1067,13,Month-to-Month,144.82,No
1068,31,Month-to-Month,226.6,Yes
1069,7,Month-to-Month,497.22,Yes
1070,56,Two Year,290.36,No
1071,49,One Year,158.39,No
1072,42,Month-to-Month,262.43,No
1073,42,Two Year,328.74,No
1074,56,Two Year,172.33,No
1075,36,Two Year,249.36,No
1076,20,Two Year,389.1,No
1077,4,Month-to-Month,204.46,Yes
1078,54,One Year,206.05,No
1079,7,Month-to-Month,203.15,Yes
1080,54,Two Year,443.7,No
1081,1,One Year,165.29,No
1082,44,One Year,153.6,No
1083,56,One Year,154.65,No
1084,45,Month-to-Month,468.56,Yes
1085,42,One Year,113.58,No
1086,47,Two Year,252.84,No
1087,59,Two Year,272.85,No
1088,13,Month-to-Month,315.59,No
1089,55,Month-to-Month,147.86,No
1090,22,Month-to-Month,337.09,No
1091,54,One Year,124.59,No
1092,21,Two Year,447.07,No
1093,22,Month-to-Month,138.57,Yes
1094,28,One Year,146.86,No
1095,9,Two Year,438.82,No
1096,26,One Year,173.6,No
1097,9,One Year,227.42,No
1098,15,One Year,451.8,No
1099,10,One Year,501.31,No
1100,24,Month-to-Month,313.03,No
1101,58,One Year,346.32,No
1102,57,One Year,189.28,No
1103,42,Two Year,189.87,No
1104,8,One Year,139.36,No
1105,24,One Year,254.93,No
1106,16,Month-to-Month,382.74,No
1107,49,Month-to-Month,262.15,No
1108,26,Month-to-Month,230.68,Yes
1109,27,Month-to-Month,101.25,No
1110,37,One Year,321.6,No
1111,4,Two Year,212.78,No
1112,50,Month-to-Month,368.32,No
1113,24,Month-to-Month,169.25,Yes
1114,19,Two Year,422.31,No
1115,36,Month-to-Month,263.22,Yes
1116,39,One Year,231.1,No
1117,10,One Year,392.32,No
1118,25,One Year,186.88,No
1119,18,Month-to-Month,364.66,No
1120,19,Month-to-Month,255.58,No
1121,36,One Year,475.83,No
1122,10,One Year,98.82,No
1123,33,Month-to-Month,332.47,No
1124,55,One Year,448.22,No
1125,50,Month-to-Month,160.73,No
1126,5,One Year,280.13,No
1127,47,Month-to-Month,249.08,No
1128,49,Two Year,280.8,No
1129,35,Month-to-Month,195.83,No
1130,44,Month-to-Month,189.48,Yes
1131,34,Month-to-Month,426.91,No
1132,33,Month-to-Month,204.02,No
1133,55,Two Year,263.87,No
1134,21,Two Year,261.35,No
1135,17,Month-to-Month,333.58,No
1136,22,Month-to-Month,175.66,Yes
1137,48,One Year,373.35,No
1138,37,Two Year,244.52,No
1139,15,One Year,220.38,No
1140,35,Month-to-Month,131.34,Yes
1141,28,Month-to-Month,314.17,No
1142,7,One Year,208.4,No
1143,32,Month-to-Month,145.07,Yes
1144,11,One Year,136.47,No
1145,10,Month-to-Month,265.25,Yes
1146,9,One Year,369.27,No
1147,14,Month-to-Month,260.75,Yes
1148,13,One Year,229.85,No
1149,57,Month-to-Month,321.06,No
1150,25,One Year,202.63,No
1151,2,Month-to-Month,109.98,Yes
1152,35,One Year,190.34,No
1153,7,One Year,250.85,No
1154,21,One Year,214.07,No
1155,18,One Year,187.72,No
1156,3,One Year,265.6,No
1157,42,Two Year,370.42,No
1158,54,Month-to-Month,149.02,Yes
1159,39,Two Year,234.16,No
1160,41,Month-to-Month,282.58,No
1161,49,Month-to-Month,94.11,Yes
1162,11,Month-to-Month,291.98,Yes
1163,39,Month-to-Month,220.52,No
1164,24,One Year,156.42,No
1165,46,One Year,235.35,No
1166,19,One Year,212.06,No
1167,4,One Year,287.07,No
1168,26,Month-to-Month,323.05,No
1169,38,Month-to-Month,221.54,Yes
1170,42,Month-to-Month,469.35,No
1171,32,Month-to-Month,99.23,Yes
1172,39,Month-to-Month,333.64,No
1173,45,Month-to-Month,206.92,Yes
1174,46,One Year,430.29,No
1175,36,One Year,156.05,No
1176,40,Two Year,91.32,No
1177,37,Two Year,145.48,No
1178,33,One Year,180.2,No
1179,36,Month-to-Month,426.16,No
1180,3,One Year,179.17,No
1181,9,One Year,317.2,No
1182,8,Month-to-Month,161.19,Yes
1183,33,Month-to-Month,267.46,Yes
1184,59,Two Year,129.09,No
1185,6,Month-to-Month,145.04,Yes
1186,41,One Year,295.28,No
1187,39,One Year,207.14,No
1188,4,Month-to-Month,128.06,Yes
1189,13,Month-to-Month,391.2,No
1190,49,Month-to-Month,407.25,No
1191,2,Month-to-Month,145.28,Yes
1192,5,Month-to-Month,196.5,Yes
1193,44,Two Year,405.77,No
1194,27,Month-to-Month,124.15,Yes
1195,32,One Year,184.98,No
1196,21,Month-to-Month,97.01,No
1197,8,Two Year,288.64,No
1198,38,Month-to-Month,366.95,No
1199,8,Month-to-Month,232.45,Yes
1200,50,Two Year,156.66,No
1201,3,Two Year,146.6,No
1202,54,Month-to-Month,219.4,No
1203,44,Two Year,122.72,No
1204,58,Month-to-Month,111.83,No
1205,3,Month-to-Month,358.54,Yes
1206,22,Month-to-Month,180.45,Yes
1207,6,Month-to-Month,352.42,Yes
1208,2,One Year,72.99,No
1209,23,Month-to-Month,109.97,Yes
1210,44,Month-to-Month,180.72,Yes
1211,2,One Year,466.4,No
1212,38,One Year,350.25,No
1213,17,Month-to-Month,335.66,No
1214,35,One Year,188.23,No
1215,34,Month-to-Month,337.09,No
1216,23,One Year,259.55,No
1217,30,One Year,124.85,No
1218,52,Two Year,288.93,No
