customer_id,category,created_at,status
1002,Service,2025-05-23,Closed
1002,Speed,2025-05-27,Resolved
1004,Roaming,2025-08-17,Resolved
1005,Service,2025-03-09,Open
1006,Network,2025-01-20,Closed
1007,Service,2025-08-14,Closed
1007,Recharge,2024-10-31,Open
1008,Recharge,2025-06-11,Resolved
1009,Billing,2025-02-11,Open
1009,Network,2025-05-07,Open
1009,Speed,2025-05-21,Open
1011,Service,2025-07-02,Resolved
1012,Billing,2024-12-18,Resolved
1012,Roaming,2024-12-24,Closed
1013,Roaming,2025-02-16,Closed
1015,Recharge,2025-07-03,Open
1015,Network,2024-10-22,Closed
1015,Billing,2025-01-04,Closed
1016,Service,2025-04-05,Closed
1017,Recharge,2025-06-07,Closed
1017,Billing,2025-07-16,Open
1020,Roaming,2025-07-30,Closed
1020,Service,2025-09-06,Closed
1022,Roaming,2025-03-17,Open
1023,Recharge,2024-10-24,Closed
1023,Speed,2024-12-24,Closed
1023,Billing,2025-09-16,Closed
1024,Network,2024-11-28,Resolved
1025,Roaming,2025-03-05,Resolved
1027,Network,2025-04-01,Resolved
1027,Recharge,2025-05-12,Open
1028,Recharge,2025-03-26,Open
1029,Network,2025-08-23,Resolved
1030,Roaming,2024-10-24,Resolved
1030,Recharge,2024-10-26,Open
1031,Roaming,2025-04-18,Closed
1031,Speed,2024-11-21,Open
1032,Recharge,2025-07-23,Closed
1033,Service,2025-01-07,Open
1033,Billing,2025-02-10,Closed
1034,Network,2025-02-27,Open
1035,Billing,2025-04-05,Closed
1036,Roaming,2025-03-12,Resolved
1036,Network,2025-06-23,Closed
1039,Billing,2024-12-27,Closed
1042,Roaming,2025-02-22,Open
1044,Speed,2025-03-31,Resolved
1045,Recharge,2025-05-12,Resolved
1048,Recharge,2025-08-15,Resolved
1049,Speed,2025-07-18,Closed
1052,Network,2024-11-07,Resolved
1054,Roaming,2025-08-09,Resolved
1054,Service,2025-02-27,Closed
1055,Speed,2025-04-21,Open
1057,Recharge,2025-02-09,Closed
1057,Speed,2025-03-14,Closed
1057,Recharge,2024-10-22,Open
1058,Billing,2024-12-03,Closed
1059,Recharge,2025-05-01,Closed
1060,Recharge,2025-02-02,Resolved
1060,Service,2025-03-01,Open
1060,Billing,2025-07-10,Open
1062,Service,2025-06-13,Resolved
1065,Billing,2025-06-22,Open
1068,Speed,2025-06-05,Open
1069,Speed,2025-03-20,Open
1070,Roaming,2025-01-11,Closed
1071,Recharge,2025-08-18,Closed
1071,Service,2025-06-10,Closed
1074,Roaming,2024-10-24,Closed
1074,Recharge,2025-06-27,Closed
1075,Service,2025-09-01,Open
1076,Recharge,2025-05-28,Closed
1077,Service,2024-12-18,Closed
1079,Service,2025-01-19,Closed
1081,Speed,2025-04-08,Closed
1082,Roaming,2025-09-07,Closed
1082,Speed,2025-07-07,Closed
1082,Speed,2025-03-21,Closed
1083,Roaming,2024-12-11,Closed
1085,Roaming,2024-11-11,Closed
1091,Speed,2025-04-15,Closed
1091,Roaming,2025-07-21,Open
1092,Roaming,2024-11-13,Closed
1092,Roaming,2024-11-27,Closed
1093,Service,2025-08-23,Closed
1094,Service,2025-02-10,Resolved
1094,Service,2024-11-16,Open
1094,Speed,2025-05-04,Resolved
1098,Network,2024-12-13,Open
1103,Speed,2025-07-31,Closed
1104,Recharge,2025-02-02,Closed
1105,Network,2025-02-11,Closed
1105,Service,2024-10-10,Resolved
1105,Service,2024-11-12,Closed
1108,Speed,2025-04-12,Open
1109,Roaming,2025-02-08,Closed
1111,Recharge,2024-11-11,Closed
1111,Recharge,2025-04-15,Closed
1112,Recharge,2025-01-12,Resolved
1112,Speed,2025-05-02,Open
1114,Service,2024-12-28,Open
1115,Network,2025-03-15,Closed
1122,Service,2025-05-14,Resolved
1127,Billing,2025-05-13,Open
1127,Roaming,2025-03-15,Open
1128,Billing,2025-09-21,Open
1130,Service,2025-09-08,Closed
1131,Recharge,2025-03-02,Resolved
1132,Billing,2024-11-11,Closed
1133,Roaming,2025-04-05,Closed
1133,Speed,2024-10-01,Resolved
1135,Network,2025-04-15,Open
1136,Service,2024-10-27,Open
1136,Billing,2024-10-11,Resolved
1138,Roaming,2025-03-25,Closed
1138,Billing,2025-09-10,Closed
1139,Speed,2025-03-08,Closed
1140,Service,2024-10-11,Open
1141,Roaming,2024-10-09,Open
1142,Recharge,2025-08-20,Resolved
1142,Speed,2025-04-23,Resolved
1142,Service,2025-05-06,Resolved
1143,Roaming,2025-07-08,Closed
1146,Network,2025-03-02,Closed
1146,Speed,2025-02-01,Closed
1146,Recharge,2024-11-18,Open
1147,Roaming,2025-04-24,Resolved
1147,Network,2025-01-13,Resolved
1147,Roaming,2024-11-02,Open
1148,Service,2025-02-16,Resolved
1148,Speed,2025-05-20,Open
1150,Network,2025-08-27,Resolved
1156,Billing,2025-08-07,Closed
1156,Network,2024-12-02,Open
1157,Speed,2025-03-12,Resolved
1157,Service,2025-09-17,Closed
1159,Roaming,2025-07-26,Closed
1159,Billing,2025-06-22,Closed
1160,Network,2025-01-01,Closed
1160,Network,2025-03-15,Closed
1163,Roaming,2025-04-25,Open
1165,Service,2025-01-19,Resolved
1165,Recharge,2025-09-23,Open
1165,Service,2025-07-09,Resolved
1167,Network,2025-05-20,Resolved
1169,Network,2025-02-03,Open
1171,Service,2024-09-29,Closed
1174,Roaming,2025-07-16,Open
1174,Network,2024-09-26,Closed
1175,Roaming,2025-09-04,Resolved
1175,Roaming,2024-10-16,Open
1176,Billing,2025-05-03,Open
1176,Network,2025-06-03,Closed
1176,Roaming,2025-08-23,Resolved
1178,Recharge,2025-07-11,Closed
1180,Service,2024-11-10,Closed
1181,Service,2024-11-03,Closed
1181,Service,2025-07-01,Resolved
1183,Recharge,2025-04-03,Resolved
1187,Network,2024-10-20,Open
