customer_id,data_used_gb,calls_made,revenue_inr
1001,9.31,308,358.68
1002,7.76,281,170.24
1003,2.91,256,198.77
1004,16.29,288,179.7
1005,16.29,229,286.39
1006,8.06,70,167.23
1007,14.54,484,424.53
1008,3.65,296,237.79
1009,17.25,320,265.97
1010,1.78,274,127.3
1011,1.13,206,65.19
1012,9.71,261,159.69
1013,6.98,120,215.93
1014,4.34,508,209.67
1015,0.4,157,204.27
1016,10.08,177,620.64
1017,4.25,236,218.88
1018,7.67,409,304.51
1019,8.25,281,159.07
1020,4.97,156,237.29
1021,2.87,405,141.31
1022,2.4,353,180.83
1023,3.92,334,110.08
1024,3.42,352,127.72
1025,4.83,519,236.45
1026,12.54,499,477.54
1027,4.28,211,240.87
1028,17.81,442,323.91
1029,2.7,318,62.32
1030,6.73,330,200.96
1031,17.83,111,359.04
1032,6.38,263,384.22
1033,3.59,199,139.33
1034,1.55,363,225.91
1035,3.85,387,185.84
1036,12.7,73,286.77
1037,6.21,278,370.89
1038,8.09,392,308.65
1039,1.85,261,186.57
1040,30.26,353,415.49
1041,19.52,315,263.44
1042,6.61,314,179.2
1043,3.41,253,170.0
1044,8.63,158,341.43
1045,11.18,168,511.9
1046,12.69,351,300.92
1047,1.17,282,135.88
1048,16.88,266,301.26
1049,2.35,238,140.25
1050,4.38,249,124.86
1051,1.11,385,212.52
1052,12.96,246,180.88
1053,17.01,146,334.12
1054,5.15,354,217.75
1055,3.27,260,262.31
1056,19.66,283,404.21
1057,7.32,441,207.15
1058,4.91,278,289.01
1059,11.11,309,129.51
1060,12.59,162,110.66
1061,13.84,258,264.51
1062,3.9,341,96.34
1063,17.93,124,216.42
1064,10.84,300,153.41
1065,8.05,290,165.12
1066,11.24,284,455.74
1067,2.26,384,152.51
1068,0.91,313,245.53
1069,7.93,428,442.18
1070,19.16,181,299.15
1071,2.41,294,136.26
1072,7.49,288,262.24
1073,9.64,173,294.7
1074,7.19,376,155.94
1075,4.51,512,239.26
1076,6.61,278,381.21
1077,3.63,331,212.02
1078,3.14,288,179.74
1079,12.4,209,203.37
1080,7.28,98,401.45
1081,1.66,209,168.96
1082,0.93,141,159.93
1083,2.71,450,157.28
1084,8.37,268,502.06
1085,2.18,245,107.98
1086,16.55,369,272.95
1087,23.71,168,267.35
1088,8.01,203,314.09
1089,2.73,287,154.43
1090,13.94,383,288.38
1091,6.23,330,130.35
1092,8.94,305,462.97
1093,4.68,288,130.67
1094,2.68,320,128.61
1095,7.78,300,384.97
1096,5.92,177,195.64
1097,3.67,285,240.33
1098,12.59,173,401.26
1099,12.24,288,479.76
1100,19.33,232,321.71
1101,10.39,534,381.18
1102,2.55,276,163.37
1103,9.55,140,174.87
1104,2.49,267,155.65
1105,4.76,332,217.39
1106,12.91,447,348.45
1107,17.39,221,298.25
1108,2.19,122,238.53
1109,4.25,362,94.01
1110,7.88,142,279.82
1111,3.11,236,182.66
1112,14.06,254,340.12
1113,1.09,273,188.62
1114,10.94,349,411.66
1115,6.76,212,280.62
1116,15.85,253,260.1
1117,6.32,279,381.5
1118,20.28,295,169.57
1119,10.25,290,366.53
1120,15.63,324,286.87
1121,12.96,364,519.28
1122,9.15,319,85.95
1123,18.51,325,351.68
1124,12.38,122,457.89
1125,4.85,285,180.38
1126,21.85,328,248.4
1127,6.06,353,251.62
1128,13.91,211,312.77
1129,1.79,214,190.54
1130,2.27,223,188.46
1131,8.74,334,371.9
1132,12.49,383,190.44
1133,3.08,239,249.98
1134,8.92,371,296.25
1135,12.75,292,311.83
1136,6.92,268,173.6
1137,10.42,259,392.54
1138,3.26,355,219.74
1139,5.05,313,219.48
1140,1.0,508,140.74
1141,14.14,195,348.75
1142,5.17,332,216.29
1143,4.2,227,152.43
1144,7.18,193,121.17
1145,6.6,279,300.72
1146,15.71,294,328.57
1147,3.09,572,282.24
1148,2.67,262,213.63
1149,12.92,167,362.82
1150,4.98,307,216.0
1151,2.17,73,118.35
1152,6.8,271,174.3
1153,4.84,282,246.56
1154,3.61,359,221.64
1155,6.18,377,202.92
1156,5.39,230,234.04
1157,5.91,265,421.8
1158,8.19,203,166.47
1159,14.55,167,218.03
1160,17.04,311,309.94
1161,3.15,153,94.63
1162,6.16,239,288.63
1163,6.22,180,208.24
1164,9.75,335,160.22
1165,2.43,460,251.58
1166,4.11,150,206.39
1167,0.68,95,298.2
1168,17.28,268,342.37
1169,2.03,282,235.57
1170,12.73,302,406.26
1171,3.26,235,109.94
1172,9.68,260,329.46
1173,3.7,317,192.17
1174,17.44,384,396.96
1175,6.97,84,155.25
1176,5.44,243,101.92
1177,4.81,301,140.17
1178,1.25,188,193.7
1179,17.69,453,374.61
1180,7.64,216,177.88
1181,28.5,276,363.99
1182,3.27,336,174.27
1183,2.91,221,244.23
1184,2.92,95,129.15
1185,4.24,237,133.45
1186,22.09,383,287.27
1187,7.33,246,224.54
1188,1.1,195,138.48
1189,22.32,373,359.29
1190,5.66,247,458.84
1191,1.93,229,149.31
1192,5.75,295,189.42
1193,11.64,357,406.01
1194,2.33,518,128.06
1195,1.8,363,188.3
1196,5.25,396,96.61
1197,14.32,229,289.07
1198,3.09,177,331.33
1199,5.77,286,254.26
1200,5.21,291,158.62
1201,4.51,172,130.37
1202,9.37,262,236.92
1203,5.42,320,138.64
1204,2.31,316,126.84
1205,14.01,330,344.45
1206,3.97,309,160.72
1207,8.22,229,354.37
1208,9.43,229,64.51
1209,1.67,160,124.29
1210,5.89,458,163.56
1211,18.96,281,431.81
1212,17.95,258,340.44
1213,10.83,187,323.89
1214,3.89,574,204.87
1215,13.77,173,332.67
1216,0.87,237,233.91
1217,5.35,322,116.13
1218,9.69,340,289.72
1219,3.88,376,116.8
1220,5.32,461,213.67
1221,2.13,331,130.68
1222,2.72,174,231.18
1223,8.34,254,209.98
1224,15.5,311,450.22
1225,1.8,487,188.16
1226,12.25,140,313.41
1227,15.35,400,316.93
1228,1.64,298,155.79
1229,7.1,364,207.25
1230,8.78,270,118.32
1231,11.44,196,311.99
1232,3.74,355,185.42
1233,18.65,345,397.71
1234,7.72,377,146.89
1235,7.81,279,447.72
1236,6.28,220,142.57
1237,4.32,124,160.35
1238,8.34,362,369.94
1239,5.56,322,248.9
1240,0.89,183,248.64
1241,10.0,226,431.64
1242,3.73,233,70.49
1243,9.63,132,386.85
1244,15.1,198,450.49
1245,2.08,167,197.27
1246,6.54,239,129.15
1247,8.71,206,204.44
1248,1.42,117,169.55
1249,7.05,482,190.19
1250,1.7,405,251.42
1251,3.43,202,202.33
1252,13.03,307,304.04
1253,15.68,322,269.57
1254,2.27,399,153.7
1255,4.01,198,223.05
1256,6.49,389,157.07
1257,2.88,225,145.35
1258,22.29,146,493.38
1259,3.0,352,164.07
1260,9.82,409,292.32
1261,4.07,539,43.26
1262,22.29,160,268.39
1263,13.23,350,460.76
1264,13.23,239,291.95
1265,6.05,358,260.85
1266,4.34,133,206.75
1267,10.12,154,131.56
1268,14.48,202,348.96
1269,11.68,288,376.4
1270,12.25,216,444.35
1271,16.77,346,431.49
1272,8.2,383,235.43
1273,8.4,340,75.37
1274,10.12,442,272.31
1275,9.91,322,159.01
1276,1.36,158,286.51
1277,2.46,416,205.04
1278,2.57,219,141.51
1279,1.65,371,171.81
1280,8.86,437,364.04
1281,3.38,326,160.6
1282,9.61,130,317.25
1283,1.76,188,179.09
1284,12.56,412,234.25
1285,9.58,263,209.13
1286,2.73,288,157.81
1287,11.32,356,209.37
1288,2.75,350,157.6
1289,5.86,308,216.8
1290,1.57,259,147.01
1291,13.77,249,454.85
1292,14.89,366,303.32
1293,12.06,335,361.09
1294,3.86,254,160.51
1295,3.98,388,125.11
1296,4.45,267,92.97
1297,19.77,195,289.38
1298,3.12,204,148.8
1299,3.62,182,240.79
1300,9.31,253,546.79
1301,4.97,403,219.43
1302,8.69,199,315.37
1303,1.9,299,162.64
1304,4.31,214,297.45
1305,12.56,254,387.49
1306,11.7,129,250.31
1307,12.76,258,441.81
1308,1.78,261,224.08
1309,5.53,334,187.57
1310,9.05,302,380.11
1311,6.99,160,307.66
1312,7.97,388,222.61
1313,6.07,301,253.99
1314,6.12,300,308.96
1315,9.18,279,164.13
1316,1.76,228,208.09
1317,8.23,302,312.93
1318,6.63,328,166.93
1319,7.01,105,358.69
1320,2.61,226,218.93
1321,1.22,255,178.45
1322,1.62,306,263.81
1323,13.8,399,386.29
1324,9.25,203,393.36
1325,10.39,230,472.46
1326,12.42,229,370.85
1327,20.57,200,431.99
1328,11.66,245,309.9
1329,2.65,357,113.68
1330,3.71,175,205.84
1331,5.62,323,135.77
1332,3.68,110,391.48
1333,9.06,224,388.51
1334,2.97,247,148.84
1335,15.53,447,161.95
1336,18.72,253,410.64
1337,1.75,60,126.16
1338,8.15,80,243.22
1339,10.71,283,385.74
1340,0.8,341,143.58
1341,14.2,318,145.41
1342,4.09,297,147.91
1343,18.82,396,333.06
1344,8.85,226,339.01
1345,9.62,369,329.25
1346,1.89,117,121.18
1347,12.71,190,511.85
1348,15.95,99,340.31
1349,2.61,253,109.31
1350,6.83,275,322.56
1351,11.17,291,137.25
1352,6.91,286,351.03
1353,5.61,187,137.35
1354,3.16,261,243.49
1355,4.65,130,98.39
1356,21.32,416,260.68
1357,5.85,250,231.97
1358,14.07,231,274.08
1359,4.67,439,194.18
1360,7.07,156,235.01
1361,5.34,167,151.81
1362,17.72,170,363.28
1363,8.34,273,142.73
1364,5.94,323,529.88
1365,8.97,354,272.13
1366,10.12,537,412.09
1367,2.31,55,154.97
1368,3.23,341,202.58
1369,14.79,224,327.0
1370,1.33,221,229.17
1371,20.4,218,375.65
1372,2.46,189,169.32
1373,10.2,448,238.35
1374,14.41,364,378.13
1375,13.25,282,371.48
1376,3.87,415,193.72
1377,10.23,129,308.21
1378,2.43,147,143.8
1379,0.79,62,175.87
1380,15.51,210,321.46
1381,8.81,296,420.74
1382,20.17,290,291.82
1383,13.34,295,539.0
1384,2.56,139,131.62
1385,7.55,360,87.55
1386,12.11,304,309.86
1387,5.1,353,137.46
1388,2.11,91,218.53
1389,7.56,311,260.63
1390,3.93,161,200.41
1391,1.55,240,205.17
1392,5.91,333,321.12
1393,3.53,289,213.7
